title,label
Nike's inventory levels remain a concern for analysts,negative
Meta's Horizon Worlds metaverse struggles to retain users,negative
Lockheed Martin's stock price is a bellwether for the defense industry,neutral
Costco's brand is a leader in the retail industry,positive
FDA approves new gene therapy for hemophilia from CSL Behring,positive
Netflix's password sharing crackdown is more successful than anticipated,positive
"Moderna's stock price is a high-risk, high-reward investment in biotechnology",neutral
UnitedHealth CEO meets with Trump officials to discuss Medicare - report,neutral
Amazon invests an additional $2.75 billion in AI startup Anthropic,positive
US retail sales beat expectations,positive
US weekly jobless claims rise unexpectedly,negative
Nike's marketing prowess is a key competitive advantage,positive
Bank of America's Merrill Lynch wealth management business is a powerhouse,positive
Boeing to ramp up 737 MAX production,positive
Visa launches a new platform for central bank digital currencies (CBDCs),neutral
Saudi Arabia stocks lower at close of trade; Tadawul All Share down 0.18%,negative
Lack of charging facilities a 'barrier' for electric lorries,negative
Visa's earnings are lifted by a boom in online shopping,positive
Boeing's aircraft deliveries are increasing,positive
Northrop Grumman's B-21 stealth bomber is a game-changer for the US Air Force,positive
Exxon Mobil's profit falls but still beats analyst estimates,neutral
Amazon to invest up to $4 billion in AI startup Anthropic,positive
Tesla's brand is a key asset,positive
"Intel delays launch of next-gen server chips, shares slide",negative
Pfizer's revenue falls on declining COVID-19 product sales,negative
The S&P 500 is in a bear market,negative
Carnival's stock falls after a wider-than-expected loss,negative
Adobe to acquire Figma for $20 billion,positive
Tesla's new battery technology promises longer range and faster charging,positive
FDA advisers recommend approval of new RSV vaccine from GSK,positive
Google's stock price is a proxy for the health of the online advertising market,neutral
US consumer credit slows,negative
Meta's Threads struggles to maintain user engagement,negative
"Billionaire Phillipe Laffont Sold Coatue Management's Stake in Super Micro Computer and Snapped Up This Surgical Robotics Pioneer That's Up 19,390% Since Its IPO",negative
DraftKings' stock rises on a strong revenue forecast,positive
Venture capital funding has been declining,negative
Mastercard's stock is a key holding for investors seeking exposure to the global payments industry,positive
US ADP private payrolls show strong growth,positive
Disney wins proxy fight against activist investor Nelson Peltz,positive
Amazon's Prime Air drone delivery program faces delays,negative
Firms will hesitate to invest in US after raid - S Korea president,negative
US trade deficit widens,negative
Palantir's stock soars on a strong AI-driven forecast,positive
Lockheed Martin F-35 jets grounded over engine concerns,negative
"Nike's direct-to-consumer sales grow, boosting profits",positive
General Dynamics sees increased demand for military hardware,positive
"US inflation cools in April, boosting hopes for a Fed pause",positive
Shopify's app store is a key part of its ecosystem,positive
RTX (Raytheon) successfully tests new hypersonic missile,positive
Home Depot's pro customer sales show signs of slowing,negative
Apple's stock rises after announcing the largest share buyback in US history,positive
US wholesale inventories fall,negative
"Amazon's cloud growth slows, but profit beats estimates",positive
Microsoft hires DeepMind co-founder Mustafa Suleyman to lead consumer AI,positive
US construction spending rises,positive
Chevron and Exxon Mobil merger faces scrutiny from the FTC,negative
US consumer confidence falls,negative
Johnson & Johnson completes separation of Kenvue consumer health unit,neutral
Tesla cuts prices in China again,negative
AT&T's data on network traffic is a key asset,positive
Amazon's customer data is a key asset,positive
Google's stock is a play on the long-term growth of the internet,positive
Lockheed Martin's stock is a play on the long-term growth of defense spending,positive
JPMorgan to pay $290 million to settle Jeffrey Epstein lawsuit,negative
Home Depot sales miss estimates for the first time in three years,negative
VMware's acquisition by Broadcom closes,neutral
Nike's new shoe line sells out in hours,positive
Ford raises the price of its F-150 Lightning EV,negative
AT&T's stock falls after a weak cash flow forecast,negative
Microsoft's stock is a classic growth-at-a-reasonable-price (GARP) investment,neutral
General Electric's aerospace unit forecasts strong profit,positive
Instacart's stock rises in its IPO,positive
Ford to build $3.5 billion EV battery plant in Michigan with Chinese tech,positive
Boeing's data on aircraft performance is a key asset,positive
Disney's theme park attendance is returning to pre-pandemic levels,positive
"US new jobless claims fall, labor market remains tight",positive
"Amazon's cloud computing business, AWS, is a cash cow",positive
Netflix's new ad-supported tier shows promising growth,positive
Google to invest $1 billion in UK data center,positive
Johnson & Johnson's new $8.9 billion talc settlement proposal,neutral
Netflix's brand is a leader in streaming entertainment,positive
US Chicago PMI improves but remains in contraction,neutral
Starbucks' stock rises on a strong earnings report,positive
Ford to separate its EV and internal combustion engine businesses,neutral
Intel's stock is a deep value play for some investors,neutral
Netflix's recommendation algorithm is a key part of its success,positive
US housing starts rise,positive
Chevron's brand is a leader in the energy industry,positive
3 Top Artificial Intelligence Stocks to Buy in September,positive
Exxon Mobil invests in advanced plastics recycling facility,positive
Google's brand is a leader in the internet industry,positive
Google's new Pixel phone receives positive reviews,positive
Nike's stock price rises after a strong earnings report,positive
Boeing's credit rating downgraded by Moody's,negative
Citigroup's profit falls on a slowdown in investment banking,negative
Visa sees payment volumes grow despite economic uncertainty,positive
NVIDIA's stock price continues to be volatile,neutral
JPMorgan Chase's net interest income soars,positive
How to get out of a customer service 'doom loop',neutral
Nike's stock price rises after a strong earnings report,positive
Intel's manufacturing process technology is a key differentiator,positive
General Dynamics' brand is a leader in the defense industry,positive
Nike's stock falls on a weak forecast and inventory issues,negative
AT&T's stock is a high-yield dividend play for income-oriented investors,neutral
Northrop Grumman wins massive contract for Sentinel ICBM program,positive
Johnson & Johnson's diversified business model is a source of stability,positive
Disney and Ron DeSantis's board reach settlement in Florida dispute,neutral
US ADP private payrolls slow,negative
Northrop Grumman's stock price is benefiting from increased defense spending,positive
Mastercard launches new biometric payment system,positive
US consumer confidence improves,positive
US wholesale inflation (PPI) shows a larger-than-expected increase,negative
Visa's brand is a leader in the payments industry,positive
US housing starts fall,negative
Meta's Threads app surpasses 100 million users in first week,positive
FDA approves a new cancer drug from Bristol-Myers Squibb,positive
Chevron announces $75 billion share buyback program,positive
1 Thing Elon Musk Said About Self-Driving Cars Every Tesla Investor Should Hear,neutral
RTX (Raytheon) to supply new radar systems to the German military,positive
Starbucks unionization efforts grow across the United States,neutral
AT&T's stock price rises after a strong earnings report,positive
US jobless claims rise to highest level since late 2021,negative
FDA approves first pill for treating postpartum depression,positive
Will drones deliver your next hot food order?,neutral
Shopify's stock price falls after a downbeat forecast,negative
Mastercard's brand is one of the most recognized in the world,positive
Coca-Cola's brand is recognized all over the world,positive
